id,title_fa,title_en,link,logo_link,decorated_grade,location,rank,is_recommended_percent,decorated_score,reviews_count
727,هتل بلو وی سیتی,Blueway Hotel City hotel,https://lastsecond.ir/hotels/727-blueway-hotel-city,http://cdn.last.upload.ir/v1/hotels/41107734.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""سه ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 456, 'slug': 'istanbul', 'title_fa': 'استانبول', 'parent_title': 'ترکیه', 'parent': {'id': 442, 'slug': 'turkey', 'title_fa': 'ترکیه'}, 'hotels_count': 308}",101,67,"<div class=""hotelScore""><div class=""score"" style=""width: 68%""></div></div>",6
4034,هتل بریستول,Bristol Hotel,https://lastsecond.ir/hotels/4034-Bristol%20Hotel,http://cdn.last.upload.ir/2017/08/28/TbyjDbtDelFmDZUA7NEx2ugLPSPkaCjhdkakPexj.jpeg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""سه ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 456, 'slug': 'istanbul', 'title_fa': 'استانبول', 'parent_title': 'ترکیه', 'parent': {'id': 442, 'slug': 'turkey', 'title_fa': 'ترکیه'}, 'hotels_count': 308}",118,0,"<div class=""hotelScore""><div class=""score"" style=""width: 56%""></div></div>",1
657,هتل رادیسون بلو ایوریا,Radisson Blu Iveria hotel,https://lastsecond.ir/hotels/657-radisson-blu-iveria,http://cdn.last.upload.ir/v1/hotels/190752_1212061202009058920_STD (Custom).jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 645, 'slug': 'tbilisi', 'title_fa': 'تفلیس', 'parent_title': 'گرجستان', 'parent': {'id': 644, 'slug': 'georgia', 'title_fa': 'گرجستان'}, 'hotels_count': 159}",2,100,"<div class=""hotelScore""><div class=""score"" style=""width: 94%""></div></div>",5
611,هتل بانکوک پالاس,Bangkok Palace hotel,https://lastsecond.ir/hotels/611-bangkok-palace,http://cdn.last.upload.ir/v1/hotels/10641_1210240656007908161_STD.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 478, 'slug': 'bangkok', 'title_fa': 'بانکوک', 'parent_title': 'تایلند', 'parent': {'id': 476, 'slug': 'thailand', 'title_fa': 'تایلند'}, 'hotels_count': 155}",27,33,"<div class=""hotelScore""><div class=""score"" style=""width: 62%""></div></div>",6
736,هتل لارس پارک,larespark hotel,https://lastsecond.ir/hotels/736-larespark,http://cdn.last.upload.ir/v1/hotels/42126004.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 456, 'slug': 'istanbul', 'title_fa': 'استانبول', 'parent_title': 'ترکیه', 'parent': {'id': 442, 'slug': 'turkey', 'title_fa': 'ترکیه'}, 'hotels_count': 308}",30,94,"<div class=""hotelScore""><div class=""score"" style=""width: 90%""></div></div>",16
3501,هتل گیت وی,The Gateway hotel,https://lastsecond.ir/hotels/3501-the-gateway,http://cdn.last.upload.ir/v1/hotels/34648580.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 636, 'slug': 'agra', 'title_fa': 'آگرا', 'parent_title': 'هند', 'parent': {'id': 634, 'slug': 'india', 'title_fa': 'هند'}, 'hotels_count': 14}",3,100,"<div class=""hotelScore""><div class=""score"" style=""width: 84%""></div></div>",1
4077,هتل متروپل پالاس، لاکچری کالکشن هتل,"Metropol Palace, A Luxury Collection Hotel",https://lastsecond.ir/hotels/4077-metropol-palace-a-luxury-collection-hotel,http://cdn.last.upload.ir/2017/09/26/xAYgl5lTJq1BvNJKYcCzIsh758vqjFIoZMKuLx7X.jpeg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 602, 'slug': 'belgrade', 'title_fa': 'بلگراد', 'parent_title': 'صربستان', 'parent': {'id': 601, 'slug': 'serbia', 'title_fa': 'صربستان'}, 'hotels_count': 30}",1,100,"<div class=""hotelScore""><div class=""score"" style=""width: 96%""></div></div>",1
161,رویال چولان بوکیت بینتانگ,Royale Chulan Bukit Bintang,https://lastsecond.ir/hotels/161-royale-chulan-bukit-bintang,http://cdn.last.upload.ir/2017/10/22/cq3GD3cc164TJnwvhtq1HJzpH5gKXu657vDeVA6E.jpeg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 485, 'slug': 'kualalampur', 'title_fa': 'کوالالامپور', 'parent_title': 'مالزی', 'parent': {'id': 484, 'slug': 'malaysia', 'title_fa': 'مالزی'}, 'hotels_count': 89}",29,64,"<div class=""hotelScore""><div class=""score"" style=""width: 76%""></div></div>",11
52,هتل گلدن پارک,Golden Park Hotel,https://lastsecond.ir/hotels/52-golden-park-hotel,http://cdn.last.upload.ir/2017/09/04/tP2ilH3MQBRxGDcD7GdN4FOKC42ZATzSRTRUQRI0.jpeg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 456, 'slug': 'istanbul', 'title_fa': 'استانبول', 'parent_title': 'ترکیه', 'parent': {'id': 442, 'slug': 'turkey', 'title_fa': 'ترکیه'}, 'hotels_count': 308}",93,69,"<div class=""hotelScore""><div class=""score"" style=""width: 70%""></div></div>",13
751,هتل مارمارا تکسیم,The Marmara Taksim hotel,https://lastsecond.ir/hotels/751-the-marmara-taksim,http://cdn.last.upload.ir/v1/hotels/4894668.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 456, 'slug': 'istanbul', 'title_fa': 'استانبول', 'parent_title': 'ترکیه', 'parent': {'id': 442, 'slug': 'turkey', 'title_fa': 'ترکیه'}, 'hotels_count': 308}",15,100,"<div class=""hotelScore""><div class=""score"" style=""width: 94%""></div></div>",3
