date,equipe_dom,score_dom,score_ext,equipe_ext,classement_dom,classement_ext
31 octobre 2017 Saison régulière,Boston Celtics,108,94,San Antonio Spurs,#2,#5
31 octobre 2017 Saison régulière,Miami Heat,122,125,Minnesota Timberwolves,#13,#6
31 octobre 2017 Saison régulière,New York Knicks,116,110,Denver Nuggets,#13,#6
31 octobre 2017 Saison régulière,New Orleans Pelicans,99,115,Orlando Magic,#6,#2
31 octobre 2017 Saison régulière,Houston Rockets,107,115,Philadelphia 76ers,#1,#10
31 octobre 2017 Saison régulière,Memphis Grizzlies,99,104,Charlotte Hornets,#2,#8
31 octobre 2017 Saison régulière,Utah Jazz,104,89,Dallas Mavericks,#6,#12
31 octobre 2017 Saison régulière,Portland Trail Blazers,85,99,Toronto Raptors,#4,#10
31 octobre 2017 Saison régulière,LA Clippers,113,141,Golden State Warriors,#6,#2
30 octobre 2017 Saison régulière,Cleveland Cavaliers,95,114,New York Knicks,#7,#15
30 octobre 2017 Saison régulière,Golden State Warriors,107,115,Detroit Pistons,#3,#1
18 octobre 2017 Saison régulière,Cleveland Cavaliers,102,99,Boston Celtics,,
18 octobre 2017 Saison régulière,Golden State Warriors,121,122,Houston Rockets,,
29 octobre 2017 Saison régulière,New Orleans Pelicans,123,101,Cleveland Cavaliers,#8,#3
29 octobre 2017 Saison régulière,Chicago Bulls,69,101,Oklahoma City Thunder,#14,#8
29 octobre 2017 Saison régulière,Miami Heat,90,96,Boston Celtics,#12,#3
29 octobre 2017 Saison régulière,Memphis Grizzlies,103,89,Houston Rockets,#3,#1
29 octobre 2017 Saison régulière,Dallas Mavericks,110,112,Philadelphia 76ers,#8,#12
29 octobre 2017 Saison régulière,Portland Trail Blazers,114,107,Phoenix Suns,#6,#8
29 octobre 2017 Saison régulière,Utah Jazz,96,81,LA Lakers,#8,#8
29 octobre 2017 Saison régulière,LA Clippers,87,95,Detroit Pistons,#6,#5
28 octobre 2017 Saison régulière,Orlando Magic,114,87,San Antonio Spurs,#4,#5
29 octobre 2017 Saison régulière,Atlanta Hawks,106,117,Milwaukee Bucks,#9,#5
29 octobre 2017 Saison régulière,Indiana Pacers,97,94,San Antonio Spurs,#9,#5
29 octobre 2017 Saison régulière,Sacramento Kings,83,110,Washington Wizards,#15,#5
29 octobre 2017 Saison régulière,Brooklyn Nets,111,124,Denver Nuggets,#1,#8
28 octobre 2017 Saison régulière,Charlotte Hornets,93,109,Houston Rockets,#9,#1
28 octobre 2017 Saison régulière,Atlanta Hawks,100,105,Denver Nuggets,#9,#15
28 octobre 2017 Saison régulière,New York Knicks,107,86,Brooklyn Nets,#15,#1
28 octobre 2017 Saison régulière,Minnesota Timberwolves,119,116,Oklahoma City Thunder,#7,#12
29 octobre 2017 Saison régulière,Charlotte Hornets,120,113,Orlando Magic,#9,#1
26 octobre 2017 Saison régulière,Detroit Pistons,122,101,Minnesota Timberwolves,#5,#5
28 octobre 2017 Saison régulière,Golden State Warriors,120,117,Washington Wizards,#3,#7
28 octobre 2017 Saison régulière,LA Lakers,92,101,Toronto Raptors,#12,#9
27 octobre 2017 Saison régulière,Chicago Bulls,91,86,Atlanta Hawks,#14,#13
26 octobre 2017 Saison régulière,Philadelphia 76ers,104,105,Houston Rockets,#10,#1
26 octobre 2017 Saison régulière,Brooklyn Nets,112,107,Cleveland Cavaliers,#5,#1
26 octobre 2017 Saison régulière,Miami Heat,100,117,San Antonio Spurs,#10,#5
27 octobre 2017 Saison régulière,Milwaukee Bucks,89,96,Boston Celtics,#5,#8
27 octobre 2017 Saison régulière,Memphis Grizzlies,96,91,Dallas Mavericks,#5,#9
