Name,Equities,%
"The Vanguard Group, Inc.","603,109,511",7.95%
Capital Research & Management Co.,"556,573,400",7.34%
"SSgA Funds Management, Inc.","314,771,248",4.15%
Fidelity Management & Research Co.,"221,883,722",2.93%
BlackRock Fund Advisors,"183,455,207",2.42%
"T. Rowe Price Associates, Inc. (Investment Management)","172,056,401",2.27%
Capital Research & Management Co. (World Investors),"139,116,236",1.83%
Putnam LLC,"121,797,960",1.61%
Geode Capital Management LLC,"115,684,966",1.53%
Capital Research & Management Co. (International Investors),"103,523,946",1.37%
