brand,features,model,number,url,year
Mercedes-Benz,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Poduszki boczne tylne,Światła do jazdy dziennej,Tapicerka skórzana,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo SD,Klimatyzacja automatyczna,MP3,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła LED,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Hak,Komputer pokładowy,Nawigacja GPS,Poduszki boczne przednie,System Start-Stop,Światła Xenonowe,Tempomat aktywny",Klasa C,517027526,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-full-opcja-avantgarde-bezwypadkowy-ID6CIiIS.html,2015
Toyota,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo SD,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Poduszki boczne przednie,Relingi dachowe,Światła przeciwmgielne,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszki boczne tylne,Światła do jazdy dziennej,Tapicerka welurowa,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Isofix,Klimatyzacja dwustrefowa,MP3,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła LED,Tempomat",Avensis,513668357,https://www.otomoto.pl/oferta/toyota-avensis-idealna-toyota-bez-wkladu-ogloszenie-prywatne-ID6D8jTf.html,2012
Mercedes-Benz,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo AUX,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszki boczne przednie,System Start-Stop,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo USB,Klimatyzacja dwustrefowa,MP3,Podgrzewane przednie siedzenia,Poduszki boczne tylne,Światła przeciwmgielne,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Relingi dachowe,Tapicerka skórzana",Klasa C,500796346,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-piekny-mercedes-bez-wkladu-ogloszenie-prywatne-ID6D8kY7.html,2008
Volkswagen,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujniki parkowania przednie,Elektryczne szyby tylne,Gniazdo SD,Kamera cofania,Kurtyny powietrzne,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Relingi dachowe,Światła LED,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Gniazdo USB,Klimatyzacja automatyczna,Łopatki zmiany biegów,Podgrzewane lusterka boczne,Poduszki boczne przednie,System Start-Stop,Światła przeciwmgielne,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,MP3,Podgrzewane przednie siedzenia,Przyciemniane szyby,Światła do jazdy dziennej,Tempomat aktywny",Tiguan,426771700,https://www.otomoto.pl/oferta/volkswagen-tiguan-comf-1-5tsi-150km-dsg-led-top-park-assist-easy-open-leasing-101-ID6D8Rkd.html,2020
Kia,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Alarm,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Klimatyzacja automatyczna,Ogrzewanie postojowe,Światła przeciwmgielne,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Elektrochromatyczne lusterko wsteczne,Hak,Klimatyzacja dwustrefowa,Radio niefabryczne,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Wspomaganie kierownicy,ASR (kontrola trakcji),Elektryczne szyby tylne,Isofix,Komputer pokładowy,Relingi dachowe",Sorento,504212839,https://www.otomoto.pl/oferta/kia-sorento-ladna-i-zadbana-ID6D5Vge.html,2008
Renault,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujnik zmierzchu,Dach panoramiczny,Elektryczne szyby tylne,Gniazdo AUX,HUD (wyświetlacz przezierny),Klimatyzacja automatyczna,Łopatki zmiany biegów,Ogranicznik prędkości,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła LED,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania przednie,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo SD,Isofix,Komputer pokładowy,MP3,Podgrzewane lusterka boczne,Poduszki boczne przednie,System Start-Stop,Światła Xenonowe,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik martwego pola,Czujniki parkowania tylne,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Hak,Kamera cofania,Kurtyny powietrzne,Nawigacja GPS,Podgrzewane przednie siedzenia,Poduszki boczne tylne,Światła do jazdy dziennej,Tapicerka skórzana,Wielofunkcyjna kierownica",Espace,517027526,https://www.otomoto.pl/oferta/renault-espace-full-opcja-initiale-paris-4-control-panoramiczny-dach-ID6CLsHC.html,2015
Citroën,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujnik deszczu,Gniazdo SD,Klimatyzacja automatyczna,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujnik zmierzchu,Gniazdo USB,Klimatyzacja dwustrefowa,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Bluetooth,Czujniki parkowania tylne,Isofix,Komputer pokładowy",C-Crosser,600365342,https://www.otomoto.pl/oferta/citroen-c-crosser-2-2-hdi-4x4-7-osobowy-ID6CVzZb.html,2008
Škoda,"ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Bluetooth,Gniazdo USB,Kurtyny powietrzne,Poduszki boczne przednie,Światła do jazdy dziennej,Centralny zamek,Immobilizer,Wspomaganie kierownicy,Czujnik zmierzchu,Isofix,MP3,Radio niefabryczne,Światła LED,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,ASR (kontrola trakcji),ESP (stabilizacja toru jazdy),Klimatyzacja manualna,Podgrzewane lusterka boczne,System Start-Stop",Fabia,732095130,https://www.otomoto.pl/oferta/skoda-fabia-mpi-75km-salon-pl-1-wlasciciel-serwis-aso-uzywanetmt-ID6D1Z9V.html,2019
Volkswagen,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Elektryczne szyby tylne,Klimatyzacja automatyczna,MP3,Podgrzewane lusterka boczne,Światła do jazdy dziennej,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Klimatyzacja dwustrefowa,Nawigacja GPS,Podgrzewane przednie siedzenia,Światła przeciwmgielne,Zmieniarka CD,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Dach panoramiczny,Gniazdo AUX,Komputer pokładowy,Odtwarzacz DVD,Szyberdach,Tapicerka skórzana",Eos,606629244,https://www.otomoto.pl/oferta/volkswagen-eos-volkswagen-eos-2-0-fsi-ID6CUB48.html,2007
Volkswagen,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujnik deszczu,Czujniki parkowania tylne,Gniazdo AUX,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Poduszki boczne przednie,Światła do jazdy dziennej,Światła Xenonowe,Tempomat aktywny,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,ASR (kontrola trakcji),Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Relingi dachowe,Światła LED,Tapicerka welurowa,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Bluetooth,Czujniki parkowania przednie,ESP (stabilizacja toru jazdy),Isofix,Klimatyzacja dwustrefowa,MP3,Podgrzewane przednie siedzenia,System Start-Stop,Światła przeciwmgielne,Tempomat",Passat,606305718,https://www.otomoto.pl/oferta/volkswagen-passat-124000kmdsgled177kmklimatronicgwarancjaserwisz-niemiec-ID6D7cSv.html,2014
