
url,title,director,description
https://pardo.ch/pardo/program/archive/2017/film.html?fid=959474&eid=70,A Campaign of Their Own,Lionel Rupp,"Jonathan Katz is convinced that Bernie Sanders, a candidate for the American presidential election, is the only hope for really changing the country. Full of enthusiasm, he campaigns with thousands of other activists for the Vermont senator, but when the primaries are almost over and their candidate has to concede he has lost, Jonathan Katz does not give up. He accuses the Democrats of repeated ballot fraud, and being responsible for the defeat of the guy everyone now calls Bernie."
https://pardo.ch/pardo/program/archive/2017/film.html?fid=959978&eid=70,Agvarim shel Ella,Oren Adaf,"Between autobiography and fiction, male and female, Ella dances, nurses, and waits for her lover."
https://pardo.ch/pardo/program/archive/2017/film.html?fid=959423&eid=70,A Song from the Future,Tommaso Donati,"A Somali migrant tries to rest inside the basement of a block of flats near the Swiss-Italian border, when a popular song awakens his wish to return to his country."
https://pardo.ch/pardo/program/archive/2017/film.html?fid=968681&eid=70,Acta Non Verba,Yvann Yagchi,"On October 6th, 2012, at approximately midnight, a Swiss banker, Michel Yagchi, committed suicide in the basement of his house in Geneva. That evening, Michel’s entire family was out of the country, travelling to Brussels to attend the graduation of Michel’s eldest son Yvann. Three years later, Yvann decided to start investigating his father’s mysterious suicide, concurrently confronting his family and his father’s friends and colleagues."
https://pardo.ch/pardo/program/archive/2017/film.html?fid=968632&eid=70,A Manifesto for the Un-communal,Syllas Tzoumerkas,"is a documentary, a video-diary and a propaganda piece for the “lawless, those without hearth, nor clan” ("
https://pardo.ch/pardo/program/archive/2017/film.html?fid=955449&eid=70,A Girl in the River: The Price of Forgiveness,Sharmeen Obaid-Chinoy,"follows the story of eighteen-year-old Saba, a Pakistani girl, who fell in love and eloped with her boyfriend only to find herself targeted by her father and uncle in an honor killing attempt. Saba miraculously survived and was supported by a local police officer who put the two men in prison. Initially, she was determined to go to trial, but her community pressured her to forgive them in order to bring peace back to the neighborhood and, above all, to release from prison the sole breadwinners of her large family. Pakistani law allows for the victims of honor crimes to forgive their perpetrators, allowing them to be freed and return home."
https://pardo.ch/pardo/program/archive/2017/film.html?fid=959475&eid=70,Airport,Michaela Müller,"Airports have now become a crossroads where borders, security and tolerance are constantly tested. For some, the journey begins, for others, it is brusquely terminated."
https://pardo.ch/pardo/program/archive/2017/film.html?fid=960893&eid=70,Abschied von den Eltern,Astrid Johanna Ofner,"The film is based on the eponymous 1960 novel by author Peter Weiss. In this autobiographical text, the author describes the years of his childhood and youth in Germany in the 20s and 30s as well as the flight of his half-Jewish family from persecution by the Nazis. This odyssey also portrays the young first-person narrator’s struggle for his artistic existence, as he was striving to establish himself as a painter and writer. In a free, sensual essay between fiction and document, realistic description and stylised invention, the film attempts to kindle today’s flame based on the past’s, and to create a new and vibrant third work from it."
https://pardo.ch/pardo/program/archive/2017/film.html?fid=956029&eid=70,Al-momia,Chadi Abdel Salam,"In Cairo, in the late 19th century, French Egyptologist Gaston Maspero notices that the Pharaonic tombs near Thebes have been looted and that the black-market trade in ancient artefacts has resumed in a major way. At the same time, in the mountains of Deir el-Bahari, Wannis succeeds his father as head of the Horabat tribe and discovers that his people have been living from looting tombs for centuries, whose locations only they know about. Determined to put an end to this destruction of the national cultural heritage, he turns to Westerners for help."
https://pardo.ch/pardo/program/archive/2017/film.html?fid=960897&eid=70,Aliens,Luis López Carrasco,"An alien is a foreigner, an outcast and, in popular culture, an inhabitant from another planet. Tesa Arranz, a key figure in the 1980s Madrid scene and the lead singer of the Zombies, has painted over 700 portraits of outer-space creatures. Confronting the singer’s paintings with the memories of her youth, her poems and diaries,"
