class,professor
"ECON 1,Intro Microeconomic",Staff
"ECON 1,Intro Microeconomic","Gonzalez,J.H."
"ECON 2,Intro Macroeconomic","Gonzalez,J.H."
"ECON 10A,Econ of Accounting","Moussa,Y.I."
"ECON 10A,Econ of Accounting","Jones,K.K."
"ECON 11A,Math Methd for Econ","Mendes,B.S."
"ECON 11B,Math Methds Econ II","Katznelson,J.R."
"ECON 100A,Intermed Microecon","Lazzati,N."
"ECON 100A,Intermed Microecon","Robinson,J.M."
"ECON 100B,Intermed Macroecon","Saijo,H."
"ECON 101,Managerial Econ","Gonzalez,J.H."
"ECON 104,Numbr Truth","Bulman,G."
"ECON 111A,Intermed Account I",Staff
"ECON 113,Intro Econometrics","Dobkin,C.E."
"ECON 113,Intro Econometrics","Giuliano,L."
"ECON 114,Adv Quant Methods","Martinez-Iriarte,J."
"ECON 117B,Tax Factors","Moussa,Y.I."
"ECON 125,Econ History Of US","Meininger,A.G."
"ECON 126,Why Succeed","Baden,R.B."
"ECON 133,Security Markets","Pommerenke,K."
"ECON 136,Business Strategy","Baden,R.B."
"ECON 141,Internatl Finance","GU,W."
"ECON 150,Public Finance","Marion,J."
"ECON 161A,Marketing","Owen,S.A."
"ECON 166A,Game Theory","Wei,D."
