Number,Name,Position,Height,Weight,Hometown,Highschool,Academic year
1,BEN DAVIS,LB,"6'4""",243 LBS,"GORDO, ALA.",GORDO,REDSHIRT JUNIOR
2,KEILAN ROBINSON,RB,"5'9""",190 LBS,"WASHINGTON, D.C.",ST. JOHN'S,FRESHMAN
2,PATRICK SURTAIN II,DB,"6'2""",203 LBS,"PLANTATION, FLA.",AMERICAN HERITAGE,SOPHOMORE
3,DANIEL WRIGHT,DB,"6'1""",190 LBS,"FORT LAUDERDALE, FLA.",BOYD ANDERSON,REDSHIRT SOPHOMORE
4,CHRISTOPHER ALLEN,LB,"6'4""",250 LBS,"BATON ROUGE, LA.",SOUTHERN LAB SCHOOL,REDSHIRT SOPHOMORE
4,JERRY JEUDY,WR,"6'1""",192 LBS,"DEERFIELD BEACH, FLA.",DEERFIELD BEACH,JUNIOR
5,SHYHEIM CARTER,DB,"6'0""",191 LBS,"KENTWOOD, LA.",KENTWOOD,SENIOR
5,TAULIA TAGOVAILOA,QB,"5'11""",208 LBS,"EWA BEACH, HAWAI'I",THOMPSON,FRESHMAN
6,DEVONTA SMITH,WR,"6'1""",175 LBS,"AMITE, LA.",AMITE,JUNIOR
7,BRAXTON BARKER,QB,"6'1""",202 LBS,"BIRMINGHAM, ALA.",SPAIN PARK,REDSHIRT FRESHMAN
7,TREVON DIGGS,DB,"6'2""",207 LBS,"GAITHERSBURG, MD.",AVALON SCHOOL,SENIOR
8,CHRISTIAN HARRIS,LB,"6'2""",244 LBS,"BATON ROUGE, LA.",UNIVERSITY LAB,FRESHMAN
8,JOHN METCHIE III,WR,"6'0""",195 LBS,"BRAMPTON, CANADA",ST. JAMES SCHOOL (MD.),FRESHMAN
9,JORDAN BATTLE,DB,"6'1""",201 LBS,"FORT LAUDERDALE, FLA.",ST. THOMAS AQUINAS,FRESHMAN
9,XAVIER WILLIAMS,WR,"6'1""",195 LBS,"HOLLYWOOD, FLA.",CHAMINADE-MADONNA PREP,REDSHIRT FRESHMAN
10,MAC JONES,QB,"6'2""",205 LBS,"JACKSONVILLE, FLA.",THE BOLLES SCHOOL,REDSHIRT SOPHOMORE
10,ALE KAHO,LB,"6'1""",228 LBS,"RENO, NEV.",RENO,SOPHOMORE
11,SCOOBY CARTER,DB,"6'0""",186 LBS,"MANSFIELD, TEXAS",MANSFIELD LEGACY,FRESHMAN
11,HENRY RUGGS III,WR,"6'0""",190 LBS,"MONTGOMERY, ALA.",LEE,JUNIOR
12,SKYLER DELONG,P,"6'4""",188 LBS,"FORT MILL, S.C.",NATION FORD,SOPHOMORE
12,CHADARIUS TOWNSEND,RB/WR,"6'0""",194 LBS,"TANNER, ALA.",TANNER,REDSHIRT SOPHOMORE
13,TUA TAGOVAILOA,QB,"6'1""",218 LBS,"EWA BEACH, HAWAI'I",ST. LOUIS,JUNIOR
14,TYRELL SHAVERS,WR,"6'6""",205 LBS,"LEWISVILLE, TEXAS",LEWISVILLE,REDSHIRT SOPHOMORE
14,BRANDON TURNAGE,DB,"6'1""",185 LBS,"OXFORD, MISS.",LAFAYETTE,FRESHMAN
15,XAVIER MCKINNEY,DB,"6'1""",200 LBS,"ROSWELL, GA.",ROSWELL,JUNIOR
15,PAUL TYSON,QB,"6'5""",220 LBS,"TRUSSVILLE, ALA.",HEWITT-TRUSSVILLE,FRESHMAN
16,JAYDEN GEORGE,QB,"6'3""",192 LBS,"INDIANAPOLIS, IND.",WARREN CENTRAL,FRESHMAN
16,WILL REICHARD,PK,"6'1""",180 LBS,"HOOVER, ALA.",HOOVER,FRESHMAN
17,JAYLEN WADDLE,WR,"5'10""",182 LBS,"HOUSTON, TEXAS",EPISCOPAL,SOPHOMORE
18,SLADE BOLDEN,WR,"5'11""",191 LBS,"WEST MONROE, LA.",WEST MONROE,REDSHIRT FRESHMAN
19,JAHLEEL BILLINGSLEY,TE,"6'4""",228 LBS,"CHICAGO, ILL.",PHILLIPS ACADEMY,FRESHMAN
19,STONE HOLLENBACH,QB,"6'3""",208 LBS,"CATAWISSA, PA.",SOUTHERN COLUMBIA,FRESHMAN
20,COOPER BISHOP,RB,"6'0""",195 LBS,"VESTAVIA HILLS, ALA.",VESTAVIA HILLS,FRESHMAN
20,DJ DOUGLAS,DB,"6'0""",202 LBS,"MONTGOMERY, ALA.",THOMPSON,FRESHMAN
21,JARED MAYDEN,DB,"6'0""",205 LBS,"SACHSE, TEXAS",SACHSE,SENIOR
22,JALYN ARMOUR-DAVIS,DB,"6'1""",182 LBS,"MOBILE, ALA.",ST. PAUL’S,REDSHIRT FRESHMAN
22,NAJEE HARRIS,RB,"6'2""",230 LBS,"ANTIOCH, CALIF.",ANTIOCH,JUNIOR
23,JAREZ PARKS,LB,"6'4""",239 LBS,"FELLSMERE, FLA.",SEBASTIAN RIVER,REDSHIRT FRESHMAN
24,TERRELL LEWIS,LB,"6'5""",252 LBS,"WASHINGTON, D.C.",ST. JOHN'S,REDSHIRT JUNIOR
24,BRIAN ROBINSON JR.,RB,"6'1""",226 LBS,"TUSCALOOSA, ALA.",HILLCREST,JUNIOR
25,EDDIE SMITH,DB,"6'0""",196 LBS,"SLIDELL, LA.",SALMEN,SOPHOMORE
26,MARCUS BANKS,DB,"6'0""",170 LBS,"HOUSTON, TEXAS",DEKANEY,FRESHMAN
26,TREY SANDERS,RB,"6'0""",214 LBS,"PORT SAINT JOE, FLA.",IMG ACADEMY,FRESHMAN
27,JEROME FORD,RB,"5'11""",212 LBS,"SEFFNER, FLA.",ARMWOOD,REDSHIRT FRESHMAN
27,JOSHUA ROBINSON,DB,"5'9""",180 LBS,"HOOVER, ALA.",HOOVER,JUNIOR
28,JOSH JOBE,DB,"6'1""",189 LBS,"MIAMI, FLA.",CHESHIRE ACADEMY (CONN.),SOPHOMORE
29,DEMARCCO HELLAMS,DB,"6'1""",213 LBS,"WASHINGTON, D.C.",DEMATHA CATHOLIC,FRESHMAN
30,KING MWIKUTA,LB,"6'5""",243 LBS,"WEST POINT, GA.",TROUP COUNTY,FRESHMAN
31,MICHAEL COLLINS,DB,"5'10""",173 LBS,"MONTGOMERY, ALA.",MONTGOMERY CATHOLIC,REDSHIRT JUNIOR
31,A.J. GATES,RB,"5'7""",170 LBS,"MOUNTAIN BROOK, ALA.",MOUNTAIN BROOK,FRESHMAN
32,JALEN JACKSON,WR,"6'3""",186 LBS,"WALDORF, MD.",THOMAS STONE/TROY,REDSHIRT SENIOR
32,DYLAN MOSES,LB,"6'3""",235 LBS,"BATON ROUGE, LA.",IMG ACADEMY,JUNIOR
33,ANFERNEE JENNINGS,LB,"6'3""",259 LBS,"DADEVILLE, ALA.",DADEVILLE,REDSHIRT SENIOR
35,SHANE LEE,LB,"6'0""",246 LBS,"BURTONSVILLE, MD.",ST. FRANCES ACADEMY,FRESHMAN
35,DE'MARQUISE LOCKRIDGE,RB,"5'11""",216 LBS,"COLUMBIA, TENN.",LAWRENCE COUNTY,REDSHIRT SENIOR
36,MARKAIL BENTON,LB,"6'2""",235 LBS,"PHENIX CITY, ALA.",CENTRAL,REDSHIRT SOPHOMORE
36,MAC HEREFORD,WR,"6'2""",215 LBS,"BIRMINGHAM, ALA.",WOODBERRY FOREST,SENIOR
38,SEAN KELLY,DB,"5'11""",190 LBS,"CARY, N.C.",GREEN HOPE,SENIOR
38,ERIC POELLNITZ,WR,"5'11""",170 LBS,"MOBILE, ALA.",MOBILE CHRISTIAN,FRESHMAN
39,LOREN UGHEOKE,DB,"5'10""",183 LBS,"HUNTSVILLE, ALA.",RANDOLPH,SENIOR
40,GILES AMOS,TE,"6'4""",245 LBS,"PERRY, GA.",WESTFIELD,SENIOR
40,JOSHUA MCMILLON,LB,"6'3""",237 LBS,"MEMPHIS, TENN.",WHITEHAVEN,REDSHIRT SENIOR
41,KYLE SMOAK,WR,"5'8""",160 LBS,"ALABASTER, ALA.",THOMPSON,FRESHMAN
41,CARSON WARE,DB,"6'1""",190 LBS,"MUSCLE SHOALS, ALA.",MUSCLE SHOALS,FRESHMAN
42,JAYLEN MOODY,LB,"6'2""",228 LBS,"CONWAY, S.C.",CONWAY,SOPHOMORE
42,SAM REED,WR,"6'1""",165 LBS,"MOUNTAIN BROOK, ALA.",JOHN CARROLL,FRESHMAN
43,DANIEL POWELL,TE,"5'11""",213 LBS,"ALICEVILLE, ALA.",PICKENS ACADEMY,SENIOR
44,KEVIN HARRIS II,LB,"6'4""",222 LBS,"LOGANVILLE, GA.",GRAYSON,FRESHMAN
45,THOMAS FLETCHER,SN,"6'2""",220 LBS,"GEORGETOWN, TEXAS",IMG ACADEMY,JUNIOR
