"hotel name","review title","review body","review date",contributions,"helpful vote","user name","user location",rating
"Hotel Caserio","Very nice hotel for adults","Very nice hotel with good all inclusive food. Not much to do with kids.

Evening shows were little dissapointing and noise might be annoying for lower floor guests just above the restaurant.

I would go again :)","May 2, 2018",4,1,Finnventurer,"Espoo, Finland",40
"Hotel Caserio","VERY NICE HOTEL ","Just finishing off off our Easter break here, very clean & comfortable hotel with amazing sunloungers, all good here for a sun break, ask for a room on poolside with high floor for balcony sun & views.

We stayed half board, food & restaurant service...","April 2, 2018",21,10,BIKEMAN_12,"Minehead, United Kingdom",40
"Hotel Caserio","Fantastic hotel","Newly refurbished, spotlessly clean, very friendly helpful staff. One of the best hotels we have ever stayed at from the efficient check in, our clean stylish  airy room, the pool area with the best sun beds we have seen and the relaxed restaurant and amazing...","March 26, 2018",10,16,"Alan R","Bournemouth, United Kingdom",50
"Hotel Caserio","Certainly coming back","Spacious and clean rooms with a great view to the pool and the town. Lovely rooftop area with jacuzzi. Absolutely delicious food- meat and fish, fresh salads, fruits (strawberries!!), smoothies almost every morning, different desserts in the evenings. Hotel is near to the bus station...","March 18, 2018",10,7,mnbvcx678,Estonia,50
"Hotel Caserio","Excellent Hotel","We were advised by Jet2 to go to this hotel. The hotel is close to beach,bars and restaurants.The meals in the hotel were excellent, great choice. The sunbeds were the best we had at any hotel. The staff were all very friendly and helpful.The Hotel...","March 12, 2018",4,1,"Alastair R",,50
"Hotel Caserio","EXCELLENT IN EVERY WAY, WELL DONE.","My wife and I stayed at this hotel on 19 Feb. 2018 to 26 Feb. 2018. We are very happy with the customer services, all staffs are polite friendly and extremely helpful.  

The hotel location is so perfect. It is close to the beach, many...","March 11, 2018",4,3,"VINH D",,50
"Hotel Caserio","6 out of 5 stars","You know when your vacation has been more than amazing when you have to focus not to try upon check-out. Hotel was absolutely perfect, nothing to complain about. Room, common areas, pool, roof terrace... Everything worked better than we could ever expect! On a scale...","February 20, 2018",1,1,annhai,Finland,50
"Hotel Caserio","A great, well designed and welcoming hotel","Recently refurbished, the Caserio hotel is a well designed hotel with a modern, minimalist theme. Comfortable, clean, relaxed and welcoming.

Great, relaxing, pool area, as well as a roof top sun bathing terrace.

Well designed, spacious rooms.

Self service restaurant, serving very good quality food....","February 20, 2018",15,12,LondonMJMLondon,London,50
"Hotel Caserio","Gran canaria? Hotel Caserio in Playa del  ingles of course!","Price/quality very  OK. Great  buffet in the morning  and evening with nice choice and good food.The employees are all very kind and helpfull. Another  advantage. The pool and around are very comfortable.","February 8, 2018",11,4,"Rita L","Antwerp Province, Belgium",50
"Hotel Caserio","No more in my life","The location is quiet nice and not far from the sea: the pool, the rooms, 
But the the food and the restaurant: the floor, tables, chairs, glasses.....everything very dirty. 
The food is the worse, I ever have eaten: breakfast: hard boiled eggs were all broken,...","February 7, 2018",1,3,"Liliane M",,10
"Hotel Caserio",Luxurious,"Hotel spotlessly clean, spacious two roomed accomodation and large bathroom, walk-in shower.
Pool area meticulously clean, well-equipped gym and sauna, sun beds, shaded divan loungers. 

Catering/waiting staff very helpful.

Food was really good, great choice at Breakfast and Dinner. You would not be disappointed by...","February 6, 2018",24,11,seamuscumbria,"Carlisle, United Kingdom",50
"Hotel Caserio","A modern, stylish hotel with all the important facilities","You cannot help being struck by the clean lines of this refurbished hotel. Plenty of white, grey and other tonally pleasing colours. Nothing brash.

The room we had met all the essential criteria - i.e. a comfortable bed, decent sized shower room (although no bath)...","February 5, 2018",108,84,BiggerAl,Hampshire,40
"Hotel Caserio","lovely hotel","We enjoyed our second time at this hotel. The first time was before the hotel was modernized and on the whole,this update has been a success.
We felt that the standard of the food provided at mealtimes had increased; some of the meals we had...","January 27, 2018",3,16,serekunda1,"Preston, United Kingdom",50
"Hotel Caserio","Good Hotel could improve on some things.","I've just returned from this hotel and all in all I had a great time. 

The good points;
The hotel is spotlessly clean
Very contemporary hotel and rooms all very white with a nice splash of colour. 
Reception staff very friendly check in very quick....","December 11, 2017",11,28,bradfordboi1981,"Leeds, United Kingdom",30
"Hotel Caserio","Holiday ","We stayed in Caserio in October we enjoyed our stay 
The rooms are fresh and clean and modern house keeping is of a good standard.
Pool area is well maintained and we never had a problem with sun beds these where very comfy.
Food was...","November 4, 2017",32,5,"Andrew C",,40
"Hotel Caserio","Lovely hotel  ,not for vegetarians!","We are  30 - 35 year old couple. the hotel is lovely and wasn't disappointed booking it. Modern style,very clean and perfect location.
Room was a decent size,bed very comfortable. Cleaners did amazing job as everything was spotless. Asked for a sea view  and Got...","November 1, 2017",32,23,"Anna B",,40
"Hotel Caserio","Fantastic Holiday","I have to say having never gone on an all inclusive holiday before I was very sceptical, however I cannot fault this hotel.  Firstly we were greeted by Louis who gave us a glass of bubbly on arrival, was very informative and very polite.   Unfortunately...","October 24, 2017",2,0,"Janet K",,50
"Hotel Caserio","Back again - but......","......i think I've fallen slightly out of like with the hotel. Nothing major - but a series of niggles that impacted on my overall experience this time.

I've stayed here a number of times and as recently as June this year and so found it...","October 22, 2017",35,45,LondonSE1,London,30
"Hotel Caserio","Lovely hotel with lovely pool","Stayed here for a few nights in December. The hotel staff were nice and friendly and the pool area was amazing, it had the best sunbeds I've ever sat on, they're so comfy. The room was nice and spacious and clean.

The location was a...","October 16, 2017",22,6,"Sharon O",,50
