search_item,rare,name,promoter_name,district,project_type,url
Agra,UPRERAPRJ6869,32 LIG HOUSES TAJNAGRI PHASE-II,Agra Development Authority,Agra,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Agra,UPRERAPRJ7045,32LIG HOUSES KALINDI VIHAR,Agra Development Authority,Agra,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Agra,UPRERAPRJ6783,ADA HEIGHTS TOWER,Agra Development Authority,Agra,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Agra,UPRERAPRJ10654,ANANT DESIRE,DESIRE INFRAZONE PVT LTD,Agra,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Aligarh,UPRERAPRJ8862,CENTRAL PARK,UNNATI CONSTRUCTION PRIVATE LIMTIED,Aligarh,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Aligarh,UPRERAPRJ10466,Happy Homes Appartment,HAPPY HOMES DEVELOPERS & BUILDERS,Aligarh,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Aligarh,UPRERAPRJ12923,JADON REAL ESTATE AND DEVELOPERS (Phase-2),Jadon Real Estate & DEvelopers,Aligarh,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Aligarh,UPRERAPRJ12928,JADON REAL ESTATE AND DEVELOPERS (Phase-3),Jadon Real Estate & DEvelopers,Aligarh,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Allahabaad,UPRERAPRJ12225,ALAKNANDA APARTMENT,Allahabad Development Authority,Allahabaad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Allahabaad,UPRERAPRJ14388,AMIT KUMAR SINGH,AMIT KUMAR SINGH,Allahabaad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Allahabaad,UPRERAPRJ1580,ANANDA PALMS,SHREE INFRATECH,Allahabaad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Allahabaad,UPRERAPRJ12307,AZAD APPARTMENT,Allahabad Development Authority,Allahabaad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Amroha,UPRERAPRJ9610,Amroha Greens Group Housing,Buildcon India,Amroha,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Amroha,UPRERAPRJ9735,City Homes,Jain Developers,Amroha,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Amroha,UPRERAPRJ7643,Galaxy Apartment,S TECH DEVELOPERS,Amroha,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Bahraich,UPRERAPRJ14650,DSL GREENCITY- G+4- 48,DARSHAN SOLUTIONS LTD,Bahraich,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Banda,UPRERAPRJ13860,"Pandit Deendayal Puram Housing Scheme , Naraini Road",Banda Development Authority,Banda,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Banda,UPRERAPRJ13942,Tulsi Nagar Housing Scheme,Banda Development Authority,Banda,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Barabanki,UPRERAPRJ8458,21 No. EWS 18/40 Type Houses,U.P. Awas Evam Vikas Parishad,Barabanki,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Barabanki,UPRERAPRJ8327,AASTHA DREAM LAND,AASTHAPARADISE INFRA PRIVATE LIMITED,Barabanki,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Barabanki,UPRERAPRJ8329,AFTEK HOUSING,AFTEK DEVELOPERS PRIVATE LIMITED,Barabanki,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Barabanki,UPRERAPRJ10496,AFTEK RESIDENCY,AFTEK DEVELOPERS PRIVATE LIMITED,Barabanki,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Bareilly,UPRERAPRJ9935,ANANDAM HOMES,APICAL BUILDTECH PRIVATE LIMITED,Bareilly,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Bareilly,UPRERAPRJ10230,ASHISH ROYAL TOWER,VIRENDRA KUMAR SINGH,Bareilly,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Bareilly,UPRERAPRJ7220,Avante,Shiv Developers,Bareilly,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Bareilly,UPRERAPRJ13349,BDS Biharman Nagla,Bareilly Development Authority,Bareilly,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Budaun,UPRERAPRJ10263,NAGLA SERKI CIVIL LINES BADAUN,AAKASH BUILDTECH PRIVATE LIMITED,Budaun,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Bulandshahr,UPRERAPRJ8692,**Construction of 106/162 type 03 Nos. Houses in Y,U.P. Awas Evam Vikas Parishad,Bulandshahr,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Bulandshahr,UPRERAPRJ8682,**Construction of 18/40 type 11 Nos. Houses in Yoj,U.P. Awas Evam Vikas Parishad,Bulandshahr,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Bulandshahr,UPRERAPRJ8666,**Construction of 18/40 type 24 Nos. Houses in Yoj,U.P. Awas Evam Vikas Parishad,Bulandshahr,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Bulandshahr,UPRERAPRJ8650,**Construction of 2 nos. 80/122 Semi finished hous,U.P. Awas Evam Vikas Parishad,Bulandshahr,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Chandauli,UPRERAPRJ8776,GANPATI DEVELOPERS,GANPATI DEVELOPER,Chandauli,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Chandauli,UPRERAPRJ8593,"GANPATI ESTATE- BLOCK- A, B, C",GANPATI INFRATECH,Chandauli,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Chandauli,UPRERAPRJ6802,JEET RIVERA . BLOCK - C. TRIVENI,Jeet Home Solutions Pvt.Ltd,Chandauli,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Chandauli,UPRERAPRJ6591,"JEET RIVERA Block - B , MANDAKINI",Jeet Home Solutions Pvt.Ltd,Chandauli,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Etawah,UPRERAPRJ9344,A-72 Semi finished houses at Spining Mill Yojna Et,U.P. Awas Evam Vikas Parishad,Etawah,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Etawah,UPRERAPRJ9615,A72 type finished 32nos house at spinning mill awa,U.P. Awas Evam Vikas Parishad,Etawah,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Firozabad,UPRERAPRJ13870,Anandkunj Phase-1,SNG Developers Ltd,Firozabad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Firozabad,UPRERAPRJ13874,Anandkunj Phase-2,SNG Developers Ltd,Firozabad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Firozabad,UPRERAPRJ13899,Anandkunj Phase-3,SNG Developers Ltd,Firozabad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Firozabad,UPRERAPRJ13918,Anandkunj Phase-4,SNG Developers Ltd,Firozabad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Gautam Buddha Nagar,UPRERAPRJ918, ATS ALLURE,ATS Realty Private Limited,Gautam Buddha Nagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Gautam Buddha Nagar,UPRERAPRJ4115, ATS RHAPSODY,ATS Township Private Limited,Gautam Buddha Nagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Gautam Buddha Nagar,UPRERAPRJ9414, Supertech Czar,SUPERTECH LIMITED,Gautam Buddha Nagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
