num_reviews,hotel_name,review_title,review_body,review_date,num_reviews_reviewer,reviewer_name,bubble_rating
"1,653","The Ritz-Carlton, Philadelphia",Elegant perfection,Hotel is gorgeous Service beyond par. Excellent food. Caring staff - what can we help you with is the norm. Centrally located across from City Hall. A variety of restaurants within walking distance. Subway is in the basement for ease of transportation. Good shopping nearby.,"December 7, 2017",,V6795UPcarolk,5
"1,653","The Ritz-Carlton, Philadelphia",Meh in Philly,"My room was disappointingly petite -- smaller than, say, a room at the Westin. The doors to the bathroom and the toilet knocked into each other, which made going to the bathroom in the middle of the night a dangerous trek. The bathtub was the...","December 7, 2017",143,andrew l,3
"1,653","The Ritz-Carlton, Philadelphia",Good Stay at Nice Hotel,Very professional staff and clean hotel in the heart of the city. Definitely recommend. Close tor restaurants and all the sights. Love the architecture and room cleanliness. Recommend the bar and restauarant. Gym is pretty nice as well.,"December 7, 2017",,Andrew P,4
"1,653","The Ritz-Carlton, Philadelphia",Puttin' on the Ritz!,Stayed at the Ritz this past Friday thru Sunday for an event I was attended at the Convention Center. I couldn't have been more pleased with my time at the Ritz!! Everything from the staff to the food was amazing! I was on the 4th...,"September 13, 2017",45,Hockey8729,4
"1,653","The Ritz-Carlton, Philadelphia",Great Ritz in PHL,"Super hotel, centrally located with a lot nearby to enjoy - and if you like to run, some amazing opportunities with views and easy trails. Also - the staff at the hotel was amazing! Friendly, outgoing and super professional. I will def be back !","December 7, 2017",,elinorp2017,5
"1,653","The Ritz-Carlton, Philadelphia",Is this supposed to be a luxury hotel?,"Generally poor across the board--downgraded to a cheaper room with no consideration, tiny bed, bathroom so small you can hardly turn around. Even lacking small details like a bathrobe that you'd take for granted at a hotel that's a 1/4th this price.","September 12, 2017",19,jmm8109,2
"1,653","The Ritz-Carlton, Philadelphia","We""ll Be Back","Adrian, THANK YOU!! Excellent customer service!! We absolutely loved our room. The restaurant team were attentive, conversational, and we didn't wait long for any of the items we ordered. The cleaning staff are very friendly and so was the Security guy we met in the...","October 14, 2017",18,Hans M,5
"1,653","The Ritz-Carlton, Philadelphia",Elegant accomodations!,"The Ritz-Carlton, Philadelphia makes a statement from the moment you walk into the lobby. Great lounge/bar area and even better location to what Philly has to offer. Rooms were comfortable, clean and quiet. Will stay again next time visiting the area.","December 6, 2017",73,twhite19,5
"1,653","The Ritz-Carlton, Philadelphia",Top shelf hotel,"This is a fabulous building with comfortable rooms. When you are not staying in your own bed, it's nice to be in a place that has plenty of creature comforts and a great bed. The staff is courteous and efficient, the room was very clean,...","October 24, 2017",4,K458XZ,5
"1,653","The Ritz-Carlton, Philadelphia",Relocated to Philly,"My wife and I stayed over Labor Day weekend, as we were relocating from Denver. We had a wonderful experience. Adrian checked us in, he was so nice. I forget the name of the woman who was at the desk with him, they were both...","September 17, 2017",12,Paulette R,5
"1,653","The Ritz-Carlton, Philadelphia",Ritz Carlton Philadelphia = Not at REAL Ritz Carlton,"There are many reviews of this hotel on this site. They vary, so take my review for what it is worth. I am a Marriott Platinum and Starwood SPG Ambassador member. I booked a few rooms (3) at this hotel over Labor Day weekend via...","September 10, 2017",1,Trevor B,3
"1,653","The Ritz-Carlton, Philadelphia",Everything was perfect!,"I have got a warm welcome and special care at the front desk for checking-in. Bryon Dockett (might be wrong spell) took care of us very kindly for creating a rewards profile. He wrote to me a personal hand-written letter, which touched me. The room...","October 9, 2017",2,mkchung1959,5
"1,653","The Ritz-Carlton, Philadelphia",Good stay,"This is a nice place to stay. Right in the center of the city. Walking distance from almost anything you want to do. Plus you may just catch a visiting team staying there.
Make sure to take care of the bartenders. Best service in the...","October 13, 2017",37,Phil C,4
"1,653","The Ritz-Carlton, Philadelphia",The Fritz Carlton,"Elevators did not not work one night and several of our group had to walk down 10 or more flights -- most of the time the elevators were very slow. The Fritz is a money grab hotel - very expensive food, snacks, etc. Complementary coffee,...","October 23, 2017",2,Stevenson L,1
"1,653","The Ritz-Carlton, Philadelphia",Worst Ritz-Carlton in the world!,"After being misled numerous times by online property descriptions and online booking, I decided to call, ask questions and book by phone.
First question that I asked the Ritz-Carlton representative was to confirm they had a pool, as my kids wanted to swim before the...","September 17, 2017",14,dr_austin,1
"1,653","The Ritz-Carlton, Philadelphia",Great service,"Strongly recommend.
Great service, warm welcome and professional personnel. The rooms with City Hall view are unique.
Excellent location for most of the local attractions. Will visit again.
Will definitely visit again.","September 9, 2017",3,Pavlos L,5
"1,653","The Ritz-Carlton, Philadelphia",Weekend get away,"One night of luxury in philadelphia. Great location in the center of philly. From the moment you arrive to check out, great service and attention. Room was spectacular, bed comfortable. Overall a great stay.","October 7, 2017",1,Douglas C,5
